model_type,languages,wer,cer,model_key
monolingual,zu,1.00709830070983,0.8141780256092523,zulu_results
multilingual,"zu,nbl,ssw",0.9943549726050142,0.5709620960789948,zulu_nguni_multilingual_zu_nbl_ssw_wav2vec2
multilingual,"zu,nbl",1.8948640483383685,7.352732434350603,zulu_nguni_multilingual_zu_nbl_wav2vec2
multilingual,"zu,ssw",1.2486640541503384,3.761328125,zulu_nguni_multilingual_zu_ssw_wav2vec2
multilingual,"zu,xh,nbl,ssw",1.0004006945371977,0.593285323731413,zulu_nguni_multilingual_zu_xh_nbl_ssw_wav2vec2
multilingual,"zu,xh,nbl",0.9927567106945037,0.5964034441594067,zulu_nguni_multilingual_zu_xh_nbl_wav2vec2
multilingual,"zu,xh,ssw",1.0097222222222222,1.0295328786513962,zulu_nguni_multilingual_zu_xh_ssw_wav2vec2
multilingual,"zu,xh",1.4386117136659435,4.81800533851007,zulu_nguni_multilingual_zu_xh_wav2vec2
multilingual,"zu,xh,nbl,ssw",0.9981270989408422,0.5859526581296081,xhosa_nguni_multilingual_zu_xh_nbl_ssw_wav2vec2
multilingual,"zu,xh,nbl",0.9948947697436966,0.5975945189037808,xhosa_nguni_multilingual_zu_xh_nbl_wav2vec2
multilingual,"zu,xh,ssw",1.0024560972614516,1.030388471177945,xhosa_nguni_multilingual_zu_xh_ssw_wav2vec2
multilingual,"zu,xh",1.4587973273942094,5.167917917917918,xhosa_nguni_multilingual_zu_xh_wav2vec2
multilingual,"zu,nbl,ssw",0.9972324304704868,0.564252709579882,ndebele_nguni_multilingual_zu_nbl_ssw_wav2vec2
multilingual,"zu,nbl",1.8638799571275455,7.862047633776678,ndebele_nguni_multilingual_zu_nbl_wav2vec2
multilingual,"zu,xh,nbl,ssw",0.9987229967010748,0.5772006154825702,ndebele_nguni_multilingual_zu_xh_nbl_ssw_wav2vec2
multilingual,"zu,xh,nbl",0.996980059510592,0.5878491059931181,ndebele_nguni_multilingual_zu_xh_nbl_wav2vec2
multilingual,"zu,nbl,ssw",0.9971574484486414,0.5697890678158313,siswati_nguni_multilingual_zu_nbl_ssw_wav2vec2
multilingual,"zu,ssw",1.1986051145798737,4.072681251129994,siswati_nguni_multilingual_zu_ssw_wav2vec2
multilingual,"zu,xh,nbl,ssw",0.9989122344993416,0.5917824669754674,siswati_nguni_multilingual_zu_xh_nbl_ssw_wav2vec2
multilingual,"zu,xh,ssw",1.0056895766954939,1.0906400510648175,siswati_nguni_multilingual_zu_xh_ssw_wav2vec2
